LICENSE TYPE,LICENSE NO,LICENSE STATUS,FULL NAME,ISSUE DATE,EXPIRATION DATE,ADDR LINE 1,ADDR LINE 2,CITY,STATE,ZIPCODE,PHONE,DISCIPLINARY ACTION,DOCKET NUMBER,EMAIL,QUALIFIER
Contractor With LRF,10751956-5501,Active,"Provost Plumbing, LLC",2018-03-20,2025-11-30,restricted,restricted,HEBER CITY,UT,84032,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,9401232-5501,Active,Compound Mechanical LLC,2018-12-03,2025-11-30,restricted,restricted,HERRIMAN,UT,84096,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14028838-5501,Active,Candor Plumbing LLC,2024-06-26,2025-11-30,restricted,restricted,Hildale,UT,84784,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14190362-5501,Active,Widdison Plumbing LLC,2024-11-08,2025-11-30,restricted,restricted,Plain City,UT,84404,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,4763250-5501,Active,"Lee's Plumbing, Inc.",2000-07-14,2025-11-30,restricted,restricted,HYDE PARK,UT,843180250,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,9529062-5501,Active,Aspen Plumbing Innovations LLC,2015-11-30,2025-11-30,restricted,restricted,ROOSEVELT,UT,84066,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13539042-5501,Active,"Pulse Services, LLC",2023-08-17,2025-11-30,restricted,restricted,Lehi,UT,84043,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,3095825-5501,Active,"BLAINE'S PLUMBING AND HEATING, INC.",2001-07-23,2025-11-30,restricted,restricted,OGDEN,UT,84404,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,344615-5501,Active,Bangerter Plumbing Inc,1997-09-10,2025-11-30,restricted,restricted,KAYSVILLE,UT,84037,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,4930445-5501,Active,"Custom Comfort Plumbing, Heating & Cooling LLC",2001-06-19,2025-11-30,restricted,restricted,CENTERVILLE,UT,840140129,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12482405-5501,Active,"Patriot Heating and Air, Inc",2021-09-17,2025-11-30,restricted,restricted,Saint George,UT,84770,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12460359-5501,Active,"Mathews Plumbing & Heating, Inc.",2021-09-03,2025-11-30,restricted,restricted,Shelley,ID,83274,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12637714-5501,Active,K&B Plumbing LLC,2022-01-05,2025-11-30,restricted,restricted,Price,UT,84501,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,10905080-5501,Active,"Monkey Wrench Plumbing & Drain, Inc.",2018-07-18,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84109,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,2057248-5501,Active,"POWER ENTERPRISE, LLC",2002-05-21,2025-11-30,restricted,restricted,IVINS,UT,84738,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,9578103-5501,Active,Taylor-Made Plumbing LLC,2015-12-31,2025-11-30,restricted,restricted,SYRACUSE,UT,84075,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13646301-5501,Active,Hortin Backflow Testing LLC,2024-01-05,2025-11-30,restricted,restricted,Heber City,UT,84032,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5677008-5501,Active,"Island View Plumbing, LLC",2004-06-29,2025-11-30,restricted,restricted,WEST BOUNTIFUL,UT,84087,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,1453842-5501,Active,"HENNEFER PLUMBING, INC.",2003-09-29,2025-11-30,restricted,restricted,PLEASANT VIEW,UT,84414,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14198187-5501,Active,EWP Plumbing LLC,2025-02-25,2027-11-30,restricted,restricted,Saint George,UT,84790,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13639984-5501,Active,"Brilex, LLC",2024-01-22,2025-11-30,restricted,restricted,Syracuse,UT,84075,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12170722-5501,Active,AC PLUMBING INC.,2021-02-22,2025-11-30,restricted,restricted,MAGNA,UT,84044,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,10712304-5501,Active,Burnett Plumbing L.L.C.,2018-02-20,2025-11-30,restricted,restricted,PLEASANT GROVE,UT,84062,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,292624-5501,Active,Steven Michael Brown,1995-05-15,2025-11-30,restricted,restricted,Mapleton,UT,84664,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,356093-5501,Active,"Berger Mechanical, L.C.",1998-04-08,2025-11-30,restricted,restricted,MIDVALE,UT,84047,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,9098867-5501,Active,"Cheap-O-Rooter Plumbing & Drain, Inc.",2014-07-11,2025-11-30,restricted,restricted,HERRIMAN,UT,84096,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,360852-5501,Active,BAS PLUMBING & HEATING LLC,1998-10-16,2025-11-30,restricted,restricted,SANDY,UT,84070,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,362758-5501,Active,Canova Plumbing Inc,1998-08-20,2025-11-30,restricted,restricted,RIVERTON,UT,84065,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,231140-5501,Active,"Jerry's Plumbing and Heating, Inc.",1911-01-01,2025-11-30,restricted,restricted,BOUNTIFUL,UT,84010,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12787192-5501,Active,"Legacy Plumbing, LLC",2022-04-05,2025-11-30,restricted,restricted,Spanish Fork,UT,84660,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,10934518-5501,Active,Meade Plumbing L.L.C.,2018-08-08,2025-11-30,restricted,restricted,RIVERTON,UT,84096,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5645108-5501,Active,Granite School District,2004-06-03,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,841153110,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13368528-5501,Active,Mint Mechanical Inc,2023-05-15,2025-11-30,restricted,restricted,Riverton,UT,84065,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,247676-5501,Active,Abe Neerings & Son Heating & Plumbing Inc,1987-04-24,2025-11-30,restricted,restricted,MIDWAY,UT,84049,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,231529-5501,Active,Bruce Plumbing & Heating Co INC,1911-01-01,2025-11-30,restricted,restricted,Salt Lake City,UT,84109,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5921290-5501,Active,North Canyon Construction Inc,2005-06-09,2025-11-30,restricted,restricted,RIVERSIDE,UT,84334,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,12748997-5501,Active,IC Plumbing & Services LLC,2022-03-30,2025-11-30,restricted,restricted,LEHI,UT,84043,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13384941-5501,Active,K3 Plumbing LLC,2023-05-26,2025-11-30,restricted,restricted,Provo,UT,84606,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,8533524-5501,Active,James Lyle Hanshaw,2013-01-08,2025-11-30,restricted,restricted,WEST VALLEY CITY,UT,84119,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,5192345-5501,Active,"CAL PASKETT PLUMBING, LLC.",2002-10-04,2025-11-30,restricted,restricted,RIVERTON,UT,84065 4105,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13249141-5501,Active,"Step by Step Construction, LLC",2023-02-15,2025-11-30,restricted,restricted,HILDALE,UT,84784,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14060509-5501,Active,Utah Service Pros L.L.C.,2024-07-16,2025-11-30,restricted,restricted,Payson,UT,84651,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5711292-5501,Active,"Rasmussen Plumbing, Inc.",2004-08-17,2025-11-30,restricted,restricted,HIGHLAND,UT,84003,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,294909-5501,Active,Silver Mountain Plumbing Inc,1995-07-27,2025-11-30,restricted,restricted,COALVILLE,UT,84017,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5633477-5501,Active,"Salisbury Plumbing, LLC",2004-05-26,2025-11-30,restricted,restricted,LEHI,UT,840433785,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12975602-5501,Active,"Icon Plumbing,L.L.C.",2022-09-22,2025-11-30,restricted,restricted,Salt Lake City,UT,84117,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,354341-5501,Active,Right Rooter Inc,1998-03-24,2025-11-30,restricted,restricted,KAYSVILLE,UT,84037,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6070495-5501,Active,"CANYON PLUMBING & HEATING, INC",2005-12-20,2025-11-30,restricted,restricted,SMITHFIELD,UT,84335,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,350784-5501,Active,Bowler Plumbing Inc,1997-11-19,2025-11-30,restricted,restricted,NIBLEY,UT,843216334,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,8669804-5501,Active,Endeavor Plumbing Inc,2013-06-06,2025-11-30,restricted,restricted,WALES,UT,84667,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5898088-5501,Active,Paul Bostick,2005-06-10,2025-11-30,restricted,restricted,WEST JORDAN,UT,84084,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,4821353-5501,Active,"Service Matters, Inc.",2000-11-06,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84104,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,267029-5501,Active,Stander Plumbing LLC,1994-01-25,2025-11-30,restricted,restricted,LOGAN,UT,84321,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6045215-5501,Active,"SWENSEN PLUMBING, LLC",2005-11-22,2025-11-30,restricted,restricted,MURRAY,UT,84107,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,318475-5501,Active,Bryson Inc,1996-04-02,2025-11-30,restricted,restricted,Layton,UT,84041,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12689678-5501,Active,Delmar Thomas Carter,2022-02-14,2025-11-30,restricted,restricted,Spanish Fork,UT,84660,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14174874-5501,Active,Thomas Lee Rush,2024-09-18,2025-11-30,restricted,restricted,Washington,UT,84780,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,1333117-5501,Active,"New Mexico Water Processing Systems, Inc.",2000-12-28,2025-11-30,restricted,restricted,Draper,UT,840209440,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,11954306-5501,Active,KNS Construction LLC,2020-10-13,2025-11-30,restricted,restricted,PAYSON,UT,84651,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14198829-5501,Active,"Kimbel Mechanical Systems, LLC",2025-03-17,2027-11-30,restricted,restricted,Fayetteville,AR,72704,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,10866885-5501,Active,"Blue Rock Enterprises, LLC",2018-06-15,2025-11-30,restricted,restricted,Malad City,ID,83252,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,11701483-5501,Active,Redd's Plumbing LLC,2020-03-17,2025-11-30,restricted,restricted,LAYTON,UT,84041,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6182815-5501,Active,"Professional Plumbing & Heating, L.L.C.",2006-04-18,2025-11-30,restricted,restricted,HERRIMAN,UT,84096,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,308377-5501,Active,Old Colt Enterprises Inc,1995-09-22,2025-11-30,restricted,restricted,WASHINGTON,UT,84780,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,360372-5501,Active,Thornton Plumbing & Heat Inc,1998-10-21,2025-11-30,restricted,restricted,MIDVALE,UT,84047,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,11240396-5501,Active,Burton Drain and Repair LLC,2019-04-24,2025-11-30,restricted,restricted,Holladay,UT,84117,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,1086574-5501,Active,BOEHNER PLUMBING COMPANY,2001-08-16,2025-11-30,restricted,restricted,OREM,UT,84097,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5754296-5501,Active,"Cable Plumbing, LLC",2004-10-28,2025-11-30,restricted,restricted,NORTH SALT LAKE,UT,84054,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,11651009-5501,Active,Tony's Plumbing and Heating LLC,2020-02-10,2025-11-30,restricted,restricted,SUNSET,UT,84015,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,260963-5501,Active,Harman Plumbing Inc.,1993-04-22,2025-11-30,restricted,restricted,South Jordan,UT,84095,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,5279152-5501,Active,"TROPHY PLUMBING, INC",2003-04-22,2025-11-30,restricted,restricted,EAGLE MOUNTAIN,UT,84005,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,4746986-5501,Active,"ORION PLUMBING, L.L.C.",2001-01-03,2025-11-30,restricted,restricted,VERNAL,UT,84078,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,6181300-5501,Active,"Back Country Plumbing, Inc.",2006-04-13,2025-11-30,restricted,restricted,IVINS,UT,84738,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,4747847-5501,Active,"WARD PLUMBING, INC.",2000-11-30,2025-11-30,restricted,restricted,RICHMOND,UT,84333,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6086413-5501,Active,Desert Plumbing Corp.,2006-01-11,2025-11-30,restricted,restricted,HURRICANE,UT,84737,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13344527-5501,Active,Nook & Kranny Home Services LLC,2023-05-03,2025-11-30,restricted,restricted,Harrisville,UT,84404,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12960170-5501,Active,"PlumbRight, LLC",2022-08-29,2025-11-30,restricted,restricted,EAGLE MOUNTAIN,UT,84005,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12351252-5501,Active,Neighborly Plumbing and Services LLC,2021-06-22,2025-11-30,restricted,restricted,Sandy,UT,84092,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6597984-5501,Active,Timber Ridge Plumbing LLC,2007-05-07,2025-11-30,restricted,restricted,SOUTH JORDAN,UT,84095,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,14206987-5501,Active,Blue Collar Plumbing LLC,2025-02-18,2027-11-30,restricted,restricted,Orem,UT,84057,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13709975-5501,Active,"Koch Mechanical, LLC",2024-02-02,2025-11-30,restricted,restricted,Salt Lake City,UT,84119,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,247974-5501,Active,Taurus Plumbing & Excavating Inc,1987-07-08,2025-11-30,restricted,restricted,NEPHI,UT,84648,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,4737483-5501,Active,"S. R. MECHANICAL, INC.",2003-06-04,2025-11-30,restricted,restricted,SALINA,UT,846540135,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,8306408-5501,Active,Bilvan LLC,2012-05-24,2025-11-30,restricted,restricted,SANDY,UT,84070,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,250405-5501,Active,"A-1 Services, Inc.",1991-04-16,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84770,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13676505-5501,Active,"Double C Plumbing & Excavation, LLC",2024-01-12,2025-11-30,restricted,restricted,Plymouth,UT,84330,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,9069146-5501,Active,"Schoonmaker Construction, LLC",2014-06-11,2025-11-30,restricted,restricted,OGDEN,UT,84401,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,4870968-5501,Active,"SNOW'S HEATING & AIR CONDITIONING, INC.",2001-04-18,2025-11-30,restricted,restricted,Ferron,UT,84523,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6356949-5501,Active,Select Comfort Systems LLC,2006-10-20,2025-11-30,restricted,restricted,WEST VALLEY CITY,UT,84119,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14195206-5501,Active,"Forge Plumbing Solutions, LLC",2024-12-10,2027-11-30,restricted,restricted,Park City,UT,84098,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,6253767-5501,Active,Precision Air Management LLC,2006-11-01,2025-11-30,restricted,restricted,LEHI,UT,84043,restricted,N,,restricted,P201 - Residential Plumbing Contractor
Contractor With LRF,12585487-5501,Active,Free Flow Plumbing and Drains LLC,2021-12-06,2025-11-30,restricted,restricted,WASHINGTON,UT,84780,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13877465-5501,Active,Optic Homes LLC,2024-04-19,2025-11-30,restricted,restricted,West Jordan,UT,84084,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,309986-5501,Active,Bryan Jennings Plumbing Inc,1995-09-29,2025-11-30,restricted,restricted,FARMINGTON,UT,84025,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,272641-5501,Active,BROKEN ARROW CONSTRUCTION CORPORATION,1994-08-11,2025-11-30,restricted,restricted,TOOELE,UT,84074,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,4795876-5501,Active,"PHILLIPS PLUMBING, INC.",2000-09-26,2025-11-30,restricted,restricted,SAINT GEORGE,UT,847702647,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,13058951-5501,Active,Canyon Plumbing LLC,2022-10-06,2025-11-30,restricted,restricted,Las Vegas,NV,89118,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,12246710-5501,Active,Shawn Allen Butter,2021-05-19,2025-11-30,restricted,restricted,LAS VEGAS,NV,89115,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14189949-5501,Active,Pipes Plumbing LLC,2024-10-29,2025-11-30,restricted,restricted,Riverton,UT,84065,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,10917493-5501,Active,One Stop Heating And Air Conditioning LLC,2018-07-27,2025-11-30,restricted,restricted,SANDY,UT,84070,restricted,N,,restricted,P200 - General Plumbing contractor
Contractor With LRF,14003805-5501,Active,Golden Rule Utah LLC,2024-06-13,2025-11-30,restricted,restricted,Grimes,IA,50111,restricted,N,,restricted,P200 - General Plumbing contractor
