LICENSE TYPE,LICENSE NO,LICENSE STATUS,FULL NAME,ISSUE DATE,EXPIRATION DATE,ADDR LINE 1,ADDR LINE 2,CITY,STATE,ZIPCODE,PHONE,DISCIPLINARY ACTION,DOCKET NUMBER,EMAIL,QUALIFIER
Contractor With LRF,13831817-5501,Active,The Lion's Landscaping and Construction LLC,2024-04-24,2025-11-30,restricted,restricted,Ivins,UT,84738,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,6926504-5501,Active,"Impressions Landscape, Inc.",2008-03-14,2025-11-30,restricted,restricted,RIVERTON,UT,84065,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13506713-5501,Active,Deer Meadows Landscape LLC,2023-08-28,2025-11-30,restricted,restricted,OAKLEY,UT,84055,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12113285-5501,Active,Aspen Leaf Landscaping LLC,2021-01-21,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84104,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12544430-5501,Active,Fixin 2 Diggle LLC,2021-11-01,2025-11-30,restricted,restricted,ST GEORGE,UT,84770,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14205870-5501,Active,Omega Renovation Solutions LLC,2025-02-12,2027-11-30,restricted,restricted,Saint George,UT,84770,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,7299831-5501,Active,"Byrom-Davey, Inc.",2009-05-26,2025-11-30,restricted,restricted,SAN DIEGO,CA,92128,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12997921-5501,Active,BSH Contracting LLC,2022-09-01,2025-11-30,restricted,restricted,Ogden,UT,84401,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13325043-5501,Active,Desert Lawn Solutions LLC,2023-05-08,2025-11-30,restricted,restricted,Hurricane,UT,84737,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12595025-5501,Active,AM2 Landscaping LLC,2021-12-06,2025-11-30,restricted,restricted,DRAPER,UT,84020,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13788545-5501,Active,ADM Landscaping & Property Maintenance LLC,2024-02-29,2025-11-30,restricted,restricted,Salt Lake City,UT,84118,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14203429-5501,Active,Hacienda Pool Environments Inc,2025-04-02,2027-11-30,restricted,restricted,Livermore,CA,94551,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13654463-5501,Active,Flow Tech Solutions LLC,2024-01-11,2025-11-30,restricted,restricted,Spanish Fork,UT,84660,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,9630349-5501,Active,Roth Landscape Services LLC,2016-02-11,2025-11-30,restricted,restricted,DRAPER,UT,84020,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12205666-5501,Active,"SILVERLINE SPRINKLERS & LANDSCAPES, LLC",2021-03-12,2025-11-30,restricted,restricted,SPANISH FORK,UT,84660,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12252850-5501,Active,"C C L Pro, LLC",2021-04-15,2025-11-30,restricted,restricted,SANDY,UT,84092,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10526099-5501,Active,"Sun & Shade Landscaping, LLC",2017-10-06,2025-11-30,restricted,restricted,AMERICAN FORK,UT,84003,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10712553-5501,Active,Honour's Landscaping Maintenance and Lawn Care LLC,2018-02-28,2025-11-30,restricted,restricted,LA SAL,UT,84530,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11508249-5501,Active,Oak Ridge Fence LLC,2019-10-29,2025-11-30,restricted,restricted,Morgan,UT,84050,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14212464-5501,Active,"Pacheco Cleaning Service, LLC",2025-03-28,2027-11-30,restricted,restricted,Farmington,UT,84025,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,358878-5501,Active,"Stubbs & Stubbs Oilfield Construction, Inc.",1998-08-04,2025-11-30,restricted,restricted,VERNAL,UT,84078,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12132119-5501,Active,"ALMQUIST LANDSCAPING AND BACKFLOW, LLC",2021-01-27,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84790,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10448537-5501,Active,R&B Consulting LLC,2017-07-19,2025-11-30,restricted,restricted,LOGAN,UT,84321,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,6239136-5501,Active,"Red Mountain Landscaping, Inc.",2006-07-10,2025-11-30,restricted,restricted,VERNAL,UT,84078,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13470372-5501,Active,"Skyscape, LLC",2023-07-26,2025-11-30,restricted,restricted,Santaquin,UT,84655,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14211793-5501,Active,Rockwall Excavation and Landscape LLC,2025-04-01,2027-11-30,restricted,restricted,Paradise,UT,84328,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13908613-5501,Active,R&R Lawn & Landscape LLC,2024-05-01,2025-11-30,restricted,restricted,Layton,UT,84040,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11774188-5501,Active,"National Home Services, Inc.",2020-08-07,2025-11-30,restricted,restricted,RIVERTON,UT,84065,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10863629-5501,Active,Crossley Construction L.L.C.,2018-06-13,2025-11-30,restricted,restricted,ALPINE,UT,84004,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,7662777-5501,Active,"Eclipse Landscapes, Inc.",2010-05-11,2025-11-30,restricted,restricted,RIVERDALE,UT,84405,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11932106-5501,Active,"CHRISTENSEN LANDSCAPING, LLC",2020-09-15,2025-11-30,restricted,restricted,SOUTH JORDAN,UT,84095,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12814882-5501,Active,"A Plus Landscape, Inc.",2022-04-25,2025-11-30,restricted,restricted,Provo,UT,84601,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13483930-5501,Active,"TSV Construction, LLC",2023-07-21,2025-11-30,restricted,restricted,Hurricane,UT,84737,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13563587-5501,Active,West Lake Fence LLC,2023-09-29,2025-11-30,restricted,restricted,Woods Cross,UT,84087,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,358042-5501,Active,Rock Landscape and Construction Inc,1998-07-08,2025-11-30,restricted,restricted,PANGUITCH,UT,847590862,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14206948-5501,Active,Revive Bath LLC,2025-02-20,2027-11-30,restricted,restricted,West Valley City,UT,84120,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11264120-5501,Active,"Tough Terrain Landscaping, LLC",2019-04-23,2025-11-30,restricted,restricted,LAYTON,UT,84041,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13851227-5501,Active,Invisible Group Fencing Corp.,2024-04-02,2025-11-30,restricted,restricted,Salt Lake City,UT,84108,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,7284301-5501,Active,"Quality Vinyl Fence & Gates, LLC",2009-03-26,2025-11-30,restricted,restricted,HERRIMAN,UT,84095,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,3105288-5501,Active,Distinctive Landscape Inc,2000-05-18,2025-11-30,restricted,restricted,LEWISTON,UT,843201967,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14184921-5501,Active,True Decks & Construction LLC,2024-10-29,2025-11-30,restricted,restricted,Kearns,UT,84118,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10598788-5501,Active,HSR Carpet Cleaning and Snow Removal Inc,2017-11-29,2025-11-30,restricted,restricted,Duck Creek Village,UT,84762,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11787969-5501,Active,WINN SPRINKLERS CO,2020-08-20,2025-11-30,restricted,restricted,MORGAN,UT,84050,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12722641-5501,Active,MS Landscaping & Maintenance LLC,2022-02-28,2025-11-30,restricted,restricted,Saint George,UT,84770,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12797325-5501,Active,"Way Good Services, LLC",2022-05-06,2025-11-30,restricted,restricted,Ivins,UT,84738,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,6468804-5501,Active,Ridgeline Excavating LLC,2007-01-29,2025-11-30,restricted,restricted,HERRIMAN,UT,84096,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,4926721-5501,Active,"ROCKY MOUNTAIN FENCE, INC.",2001-06-18,2025-11-30,restricted,restricted,FARR WEST,UT,84401,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,1437987-5501,Active,"EARTHCARE LANDSCAPING, INC.",2015-03-27,2025-11-30,restricted,restricted,MOUNTAIN GREEN,UT,84050,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13788860-5501,Active,"Blu Pool, LLC",2024-01-25,2025-11-30,restricted,restricted,South Jordan,UT,84095,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,286889-5501,Active,Utah Landscape Construction Co,1995-02-23,2025-11-30,restricted,restricted,MURRAY,UT,84107,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14216912-5501,Active,Waterstone Landscaping LLC,2025-04-15,2027-11-30,restricted,restricted,Salt Lake City,UT,84119,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13384931-5501,Active,Power Pools and Landscaping LLC,2023-05-24,2025-11-30,restricted,restricted,Saint George,UT,84770,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10764405-5501,Active,"Top Notch Services, LLC",2018-04-06,2025-11-30,restricted,restricted,PEOA,UT,84061,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10127267-5501,Active,"International Maintenance, Inc.",2016-12-21,2025-11-30,restricted,restricted,WASHINGTON,UT,84780,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10391478-5501,Active,"Gilson Sprinklers, Inc.",2017-06-01,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84124,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12617580-5501,Active,West Salt Lake Fencing LLC,2021-12-21,2025-11-30,restricted,restricted,KEARNS,UT,84118,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,319583-5501,Active,K V Fencing,1996-04-19,2025-11-30,restricted,restricted,FERRON,UT,84523,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11148864-5501,Active,S&S Sprinklers LLC,2019-02-11,2025-11-30,restricted,restricted,OGDEN,UT,84404,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14087149-5501,Active,Zenscape Pools LLC,2024-08-05,2025-11-30,restricted,restricted,West Jordan,UT,84081,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,331897-5501,Active,Gough Construction LLC,1997-01-06,2025-11-30,restricted,restricted,WEST JORDAN,UT,84088,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13684329-5501,Active,AVA Landscaping & Excavation LLC,2024-01-16,2025-11-30,restricted,restricted,West Valley City,UT,84128,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10736523-5501,Active,"D&H Landscaping, LLC",2018-03-08,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84770,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13111759-5501,Active,Icon Custom Finishes LC,2022-11-17,2025-11-30,restricted,restricted,Pleasant Grove,UT,84062,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,5789684-5501,Active,David Whitlock,2004-12-20,2025-11-30,restricted,restricted,SOUTH JORDAN,UT,84009,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14208567-5501,Active,Mendoza's Concrete Creations LLC,2025-02-27,2027-11-30,restricted,restricted,Hurricane,UT,84737,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11262200-5501,Active,Procare Landscape Inc.,2019-04-25,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84171,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12326393-5501,Active,Premier Shotcrete LLC,2021-06-04,2025-11-30,restricted,restricted,Saint George,UT,84770,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14209857-5501,Active,Shaw Structures LLC,2025-03-10,2027-11-30,restricted,restricted,Salt Lake City,UT,84118,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,6594174-5501,Active,Sublime Fencing LLC,2007-05-21,2025-11-30,restricted,restricted,LOGAN,UT,843210,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10975445-5501,Active,JS Landscaping & Sprinkler Repair LLC,2018-09-12,2025-11-30,restricted,restricted,ROY,UT,84067,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,8273507-5501,Active,La Roca Landscaping LLC,2012-07-25,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84790,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,6367656-5501,Active,"Soul Garden, Inc.",2006-11-01,2025-11-30,restricted,restricted,SALT LAKE CIT,UT,84109,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12306083-5501,Active,FF Landscaping LLC,2025-04-18,2027-11-30,restricted,restricted,Park City,UT,84060,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13663889-5501,Active,"OLO Capital Investment Manager, LLC",2024-01-21,2025-11-30,restricted,restricted,Morgan,UT,84050,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12884043-5501,Active,Triple J Fencing LLC,2022-06-21,2025-11-30,restricted,restricted,Salt Lake City,UT,84106,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,7596266-5501,Active,"Hardy Manufacturing, Inc.",2010-04-29,2025-11-30,restricted,restricted,WEST JORDAN,UT,84084,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11013524-5501,Active,EZ & Sons Landscaping LLC,2018-10-10,2025-11-30,restricted,restricted,WEST JORDAN,UT,84088,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,295785-5501,Active,Richter Landscape Inc,1995-09-19,2025-11-30,restricted,restricted,BOUNTIFUL,UT,84010,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11313574-5501,Active,Palomar Construction Inc.,2019-05-31,2025-11-30,restricted,restricted,PAYSON,UT,84651,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11799229-5501,Active,MY VINYL FENCE LLC,2020-10-13,2025-11-30,restricted,restricted,WEST JORDAN,UT,84084,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13950700-5501,Active,Coburn Ventures LLC,2024-05-22,2025-11-30,restricted,restricted,Salt Lake City,UT,84115,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12850562-5501,Active,Sandoval Concrete LLC,2022-06-02,2025-11-30,restricted,restricted,Saint George,UT,84770,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13383015-5501,Active,Red Sands Fabrication LLC,2023-05-23,2025-11-30,restricted,restricted,Hurricane,UT,84737,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13342209-5501,Active,"Just Services, L.L.C.",2023-04-19,2025-11-30,restricted,restricted,Layton,UT,84040,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13919949-5501,Active,Sierra Vista Landscaping LLC,2024-05-09,2025-11-30,restricted,restricted,West Valley City,UT,84119,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,1080719-5501,Active,"PAUL SHUPE CONSTRUCTION, INC.",2000-06-02,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84117,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11526585-5501,Active,ALMA ROSIO CORONA,2020-07-07,2025-11-30,restricted,restricted,KAMAS,UT,84036,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13913434-5501,Active,Premium Phoenix Innovations LLC,2024-05-08,2025-11-30,restricted,restricted,Ogden,UT,84404,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11213736-5501,Active,Finish Line Sprinklers and Maintenance LLC,2019-03-21,2025-11-30,restricted,restricted,RIVERTON,UT,84065,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13851017-5501,Active,Built Landscapes LLC,2024-04-02,2025-11-30,restricted,restricted,American Fork,UT,84003,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,8651966-5501,Active,"Southern Utah Fireplaces, LLC",2013-04-30,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84770,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13502768-5501,Active,Apex Landscape Service LLC,2023-08-01,2025-11-30,restricted,restricted,Moab,UT,84532,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10638491-5501,Active,"Toller Concrete & Hauling, Inc",2018-01-03,2025-11-30,restricted,restricted,OGDEN,UT,84412,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,6959676-5501,Active,"Polynesian Pools and Spas, LLC",2008-04-09,2025-11-30,restricted,restricted,SAINT GEORGE,UT,84790,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12607242-5501,Active,JBS LLC,2021-12-22,2025-11-30,restricted,restricted,Holladay,UT,84117,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,7688473-5501,Active,Gillett Landscape and Maintenance LLC,2010-06-07,2025-11-30,restricted,restricted,SANDY,UT,84092,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11859990-5501,Active,Lemus Landscape & Construction LLC,2020-07-29,2025-11-30,restricted,restricted,Provo,UT,84601,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11841505-5501,Active,DIXIE SHADE LLC,2020-07-10,2025-11-30,restricted,restricted,ST GEORGE,UT,84770,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13922635-5501,Active,Shields Hardscapes LLC,2024-05-16,2025-11-30,restricted,restricted,Ogden,UT,84401,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10583345-5501,Active,Smartscape LLC,2017-11-15,2025-11-30,restricted,restricted,SALT LAKE CITY,UT,84109,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12835506-5501,Active,"Tusa Pest Control, LLC",2022-05-27,2025-11-30,restricted,restricted,Roy,UT,84067,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14200188-5501,Active,TKAY Construction LLC,2025-01-13,2027-11-30,restricted,restricted,Orangeville,UT,84537,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13828974-5501,Active,Lawrence Urban Forestry,2024-03-20,2025-11-30,restricted,restricted,Springville,UT,84663,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12294609-5501,Active,Miller Pools and Spas LLC,2021-06-10,2025-11-30,restricted,restricted,EAGLE MOUNTAIN,UT,84005,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14212538-5501,Active,Too A T Landscape and Hardscape Design L.L.C,2025-03-25,2027-11-30,restricted,restricted,Taylorsville,UT,84129,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14063379-5501,Active,Maverick Overhead Doors LLC,2024-07-26,2025-11-30,restricted,restricted,Hurricane,UT,84737,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12662715-5501,Active,"Joyful Lighting, LLC",2022-01-21,2025-11-30,restricted,restricted,West Jordan,UT,84084,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,357528-5501,Active,D & T Landscaping & Maintenance Inc,1998-04-15,2025-11-30,restricted,restricted,HIGHLAND,UT,84003,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10698726-5501,Active,Desert Rain Landscaping LLC,2018-02-08,2025-11-30,restricted,restricted,WEST JORDAN,UT,84088,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,11954180-5501,Active,Nikolai Speir Halverson,2020-09-28,2025-11-30,restricted,restricted,TAYLORSVILLE,UT,84129,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10868927-5501,Active,"Robertson Installations, LLC",2018-06-14,2027-11-30,restricted,restricted,Las Vegas,NV,89118,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,10522856-5501,Active,"Iguanas Landscape, LLC",2017-09-19,2025-11-30,restricted,restricted,NORTH SALT LAKE,UT,84054,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,12779793-5501,Active,Rock N Yard LLC,2022-03-31,2025-11-30,restricted,restricted,Copperton,UT,84006,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14203627-5501,Active,JFC Pavers and Stone LLC,2025-02-06,2027-11-30,restricted,restricted,Sandy,UT,84093,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13000528-5501,Active,LunaHVAC Inc,2022-09-08,2025-11-30,restricted,restricted,Vernal,UT,84078,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13339499-5501,Active,"Alonso's Home Builder, LLC",2023-04-17,2025-11-30,restricted,restricted,Oakley,UT,84055,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,14193425-5501,Active,Penny Packer Holdings Inc.,2024-12-24,2027-11-30,restricted,restricted,Farmington,UT,84025,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,13896698-5501,Active,Dennis Villanueva Landscaping LLC,2024-04-29,2025-11-30,restricted,restricted,West Valley City,UT,84128,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
Contractor With LRF,5548395-5501,Active,"LINDSTROM CONSTRUCTION, LLC",2004-01-20,2025-11-30,restricted,restricted,Lehi,UT,84663,restricted,N,,restricted,S330 - Landscape and Recreation Qualifier
